"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Stratos bar","neutral","Avani Hotel","June","2023","4","positive"
"In the centre of the capital","neutral","Avani Hotel","August","2019","4","positive"
"HOTEL CLASSIQUE INTERNATIONAL","neutral","Avani Hotel","September","2019","4","positive"
"Hotel classique moderne en plein centre ville","neutral","Avani Hotel","June","2019","4","positive"
"Great end to the holiday","positive","Avani Hotel","December","2023","5","positive"
"Rooftop","neutral","Avani Hotel","November","2023","5","positive"
"Extraordinary service by pantry ","positive","Avani Hotel","October","2023","5","positive"
"Enjoyed my stay and the food at the restaurant","positive","Avani Hotel","September","2023","5","positive"
"Breakfast","positive","Avani Hotel","September","2023","3","neutral"
"Excellent service from Shahid","positive","Avani Hotel","August","2023","5","positive"
"Amazing service by kylie","positive","Avani Hotel","July","2023","5","positive"
"Stratos Service and ambience","neutral","Avani Hotel","June","2023","5","positive"
"Gratitude","positive","Avani Hotel","June","2023","4","positive"
"Shalen and Rejoice at reception.","positive","Avani Hotel","June","2023","5","positive"
"Dunes","neutral","Avani Hotel","May","2023","5","positive"
"Centrale e comodo","neutral","Avani Hotel","April","2023","4","positive"
"Avani","neutral","Avani Hotel","March","2023","4","positive"
"Startos","neutral","Avani Hotel","March","2023","5","positive"
"Fidrich","neutral","Avani Hotel","March","2023","4","positive"
"Awesome service","positive","Avani Hotel","February","2023","4","positive"
"Stratos Rooftop","neutral","Avani Hotel","February","2023","5","positive"
"Mrs","neutral","Avani Hotel","February","2023","5","positive"
"Chilled environment","neutral","Avani Hotel","January","2023","5","positive"
"China Rosy  and Rejoice best ever great work","positive","Avani Hotel","January","2023","5","positive"
"Feeling at home","positive","Avani Hotel","January","2023","5","positive"
"Nathaniel Aseb","neutral","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Mr David Tuneeko","neutral","Avani Hotel","December","2022","5","positive"
"NamPower","neutral","Avani Hotel","December","2022","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Amazing service - Best waitress Lenize ","positive","Avani Hotel","October","2022","5","positive"
"Check in","neutral","Avani Hotel","November","2022","5","positive"
"OPM","neutral","Avani Hotel","October","2022","5","positive"
"Tia","neutral","Avani Hotel","October","2022","4","positive"
"Jurgen is the best","positive","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Stratos ballroom very nice venue however the company must fix the curtains are light they must make dark then everything","negative","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","September","2022","5","positive"
"Dumi Mkokstad and team","neutral","Avani Hotel","September","2022","5","positive"
"Leonard Blondy KASIEBOY Mathobela","neutral","Avani Hotel","July","2022","5","positive"
"Mr","neutral","Avani Hotel","July","2022","5","positive"
"Mr","neutral","Avani Hotel","April","2022","5","positive"
"best in town","positive","Avani Hotel","November","2021","5","positive"
"Awesome Avani","positive","Avani Hotel","February","2020","5","positive"
"City centre location with a good view","positive","Avani Hotel","November","2019","4","positive"
"Luxury after a nightmare Exoticca holiday","positive","Avani Hotel","September","2019","4","positive"
"TOP","neutral","Avani Hotel","August","2019","5","positive"
"Central & convenient","positive","Avani Hotel","July","2019","5","positive"
"Great Stay","positive","Avani Hotel","June","2019","4","positive"
"Non-complicated stay","neutral","Avani Hotel","April","2019","4","positive"
"Comfortable ","positive","Avani Hotel","April","2019","4","positive"
"StayCation at Avani","neutral","Avani Hotel","February","2019","4","positive"
"An almost perfect stay…","positive","Avani Hotel","October","2021","4","positive"
"Business trip","neutral","Avani Hotel","November","2022","5","positive"
"Best bed in town!","positive","Avani Hotel","February","2022","5","positive"
"That Windhoek Touch","neutral","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","June","2023","4","positive"
"Excellent customer care","positive","Avani Hotel","March","2023","5","positive"
"THANK YOU AVANI FAMILY","positive","Avani Hotel","December","2022","5","positive"
"The perfect stay one could find in Namibia!!","positive","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","May","2023","5","positive"
"Good service","positive","Avani Hotel","June","2021","3","neutral"
"Service","neutral","Avani Hotel","June","2021","4","positive"
"BeststayAvani","neutral","Avani Hotel","March","2022","4","positive"
"Excellent Customer Service ","positive","Avani Hotel","October","2023","5","positive"
"Satisfied 😁","positive","Avani Hotel","February","2023","5","positive"
"Great stay in central Windhoek","positive","Avani Hotel","August","2021","5","positive"
"Mr. Stanley","neutral","Avani Hotel","November","2022","5","positive"
"A heart at peace","positive","Avani Hotel","June","2023","5","positive"
"The experience was exceptinally well","positive","Avani Hotel","February","2023","5","positive"
"The room was always kept clean. The staff is very friendly and helpful. The food was delicious and always well prepared.","positive","Avani Hotel","September","2023","5","positive"
"First Time Visit","positive","Avani Hotel","March","2022","5","positive"
"Stratos","neutral","Avani Hotel","July","2023","4","positive"
"Wonderful Experience at Avani Windhoek","positive","Avani Hotel","May","2022","5","positive"
"Rosalia and Engelhard good and excellent work at reception. Keep it up.","positive","Avani Hotel","January","2023","5","positive"
"Centrally located comfortable rooms helpful staff","positive","Avani Hotel","March","2022","5","positive"
"Wonderful stay","positive","Avani Hotel","May","2021","5","positive"
"Stratos restaurant","neutral","Avani Hotel","August","2023","5","positive"
"Great Property","positive","Avani Hotel","August","2022","4","positive"
"Great stay at avani","positive","Avani Hotel","April","2021","5","positive"
"Good service all round","positive","Avani Hotel","February","2020","5","positive"
"Best hotel ever that I visit. Rosy you are by the best and execute your work professional.","positive","Avani Hotel","December","2022","5","positive"
"Quality Management Auditor","positive","Avani Hotel","December","2022","4","positive"
"Best place to stay in Windhoek","positive","Avani Hotel","December","2023","5","positive"
"Make the best of it","positive","Avani Hotel","August","2023","5","positive"
"Phenomenal Service by Samoline.","positive","Avani Hotel","February","2023","5","positive"
"Avani","neutral","Avani Hotel","December","2023","5","positive"
"Excellent stay","positive","Avani Hotel","April","2022","5","positive"
"Debmarine Namibia employee","neutral","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","5","positive"
"Legitimately the best","positive","Avani Hotel","January","2023","5","positive"
"An amazing stay","positive","Avani Hotel","December","2022","4","positive"
"Operational visit","positive","Avani Hotel","November","2022","4","positive"
"The great avani experience","positive","Avani Hotel","February","2023","5","positive"
"The Avani Stay!","neutral","Avani Hotel","November","2022","5","positive"
"Sosta per arrivo e partenza dalla Namibia ","neutral","Avani Hotel","October","2019","5","positive"
"Zentral gelegen","neutral","Avani Hotel","May","2019","4","positive"
"Great view and service ","positive","Avani Hotel","December","2023","5","positive"
"First day in Namibia","neutral","Avani Hotel","November","2023","4","positive"
"Extraordinary service by Kylie and roswitha","positive","Avani Hotel","October","2023","5","positive"
"It was my best experience to be here at Avani and I just can’t wait to come back and enjoy this experience again I loved","positive","Avani Hotel","September","2023","5","positive"
"Topnocth service","neutral","Avani Hotel","September","2023","5","positive"
"Shahid was the best!!!","positive","Avani Hotel","August","2023","5","positive"
"Ottimo hoyel in città","neutral","Avani Hotel","July","2023","5","positive"
"Concierge ","neutral","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","June","2023","5","positive"
"Best stay ","positive","Avani Hotel","June","2023","5","positive"
"Dunes","neutral","Avani Hotel","May","2023","5","positive"
"Front desk attendance makes a difference.","positive","Avani Hotel","April","2023","5","positive"
"Avani review","neutral","Avani Hotel","March","2023","5","positive"
"Excellent service","positive","Avani Hotel","March","2023","4","positive"
"Miss kafula","neutral","Avani Hotel","March","2023","4","positive"
"Okeri","neutral","Avani Hotel","February","2023","4","positive"
"Restaurant ","neutral","Avani Hotel","February","2023","5","positive"
"Mr","neutral","Avani Hotel","February","2023","5","positive"
"Nice place","positive","Avani Hotel","January","2023","5","positive"
"Awesome i really enjoyed staying at Avani Hotel and casino I would love the room service personally to improve on that","positive","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Остановка в Намибии","neutral","Avani Hotel","January","2023","5","positive"
"Shanicee","neutral","Avani Hotel","January","2023","5","positive"
"Avani Hotel","neutral","Avani Hotel","December","2022","5","positive"
"Excellent service","positive","Avani Hotel","December","2022","4","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Mr","neutral","Avani Hotel","November","2022","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Excellent service indeed","positive","Avani Hotel","October","2022","5","positive"
"Tia","neutral","Avani Hotel","October","2022","5","positive"
"The Food","positive","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"IAEA  meeting with  MohSS","neutral","Avani Hotel","October","2022","5","positive"
"Stay at avani","neutral","Avani Hotel","September","2022","5","positive"
"Sehr gutes Hotel","neutral","Avani Hotel","August","2022","5","positive"
"Nafta is the greatest with the great Customer Service Front Desk","positive","Avani Hotel","August","2022","5","positive"
"Miserabel","neutral","Avani Hotel","June","2022","1","negative"
"Sehr gutes Hotel","neutral","Avani Hotel","April","2022","5","positive"
"My Avani Stay","neutral","Avani Hotel","August","2021","4","positive"
"i like the good view of the city up their building","positive","Avani Hotel","November","2019","3","neutral"
"My stay at  Avani Hotel & Casino Windhoek","negative","Avani Hotel","November","2019","4","positive"
"Super Rooftop bar","positive","Avani Hotel","September","2019","5","positive"
"fin de sejour","neutral","Avani Hotel","August","2019","5","positive"
"I enjoyed my stay","positive","Avani Hotel","July","2019","4","positive"
"awesome","positive","Avani Hotel","May","2019","5","positive"
"best service allround","positive","Avani Hotel","April","2019","5","positive"
"Best location and great service","positive","Avani Hotel","March","2019","5","positive"
"Tolles Hotel mit super Lage in Windhoek","positive","Avani Hotel","January","2019","5","positive"
"Not pleasant staff","positive","Avani Hotel","December","2019","4","positive"
"Great stay thank you Junias and Rejoice for the great service","positive","Avani Hotel","November","2022","5","positive"
"Peter Sinyangwe - Lusaka","neutral","Avani Hotel","December","2022","5","positive"
"The Pantry","neutral","Avani Hotel","September","2022","4","positive"
"Happy Client!","positive","Avani Hotel","August","2022","5","positive"
"Stratos Rooftop","neutral","Avani Hotel","November","2023","5","positive"
"Avani Stratos Restaurant","neutral","Avani Hotel","February","2023","5","positive"
"Avani Windhoek Hotel or Nothing","neutral","Avani Hotel","August","2023","5","positive"
"Most welcoming hotel in the city.","neutral","Avani Hotel","October","2023","5","positive"
"Rooftop bar","neutral","Avani Hotel","February","2023","5","positive"
"Good food excellent service I am really happy  it home away from home","positive","Avani Hotel","October","2022","5","positive"
"Judith is the BEST!","positive","Avani Hotel","December","2022","5","positive"
"Short Stay but Great Experience !","positive","Avani Hotel","August","2023","5","positive"
"Our expectations was fully met at the Avani Hotel","positive","Avani Hotel","October","2023","5","positive"
"Amazingly good service food and view ","positive","Avani Hotel","December","2023","5","positive"
"Great customer experience","positive","Avani Hotel","September","2023","5","positive"
"Mr Josef Natangwe","neutral","Avani Hotel","September","2022","5","positive"
"Will definitely recommend Avani Hotel for future business interventions","positive","Avani Hotel","September","2023","4","positive"
"Everything was nice. I will  confidently recommend someone else to use this hotel because it is up to standard","positive","Avani Hotel","July","2021","5","positive"
"Grateful Service","positive","Avani Hotel","September","2022","5","positive"
"AVANI Hotel Review by Rebecca Hamukoto","neutral","Avani Hotel","May","2020","5","positive"
"Mrs Schweickhardt","neutral","Avani Hotel","October","2021","5","positive"
"Business Risk Solutions","negative","Avani Hotel","October","2022","5","positive"
"A relaxed Friday evening","positive","Avani Hotel","February","2023","5","positive"
"Good service from David","positive","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","June","2023","4","positive"
"Workshop","neutral","Avani Hotel","September","2022","4","positive"
"Excellent service","positive","Avani Hotel","January","2023","5","positive"
"It was an awesome first time experience","positive","Avani Hotel","February","2023","5","positive"
"Wonderful Experience","positive","Avani Hotel","September","2022","5","positive"
"home on the road","neutral","Avani Hotel","December","2022","4","positive"
"Best service","positive","Avani Hotel","July","2023","5","positive"
"Mrs","neutral","Avani Hotel","November","2022","5","positive"
"Short Notice every time","neutral","Avani Hotel","December","2023","5","positive"
"Stratos","neutral","Avani Hotel","October","2023","5","positive"
"Cordial","neutral","Avani Hotel","July","2023","5","positive"
"Review","neutral","Avani Hotel","February","2023","5","positive"
"Top Notch","neutral","Avani Hotel","June","2023","4","positive"
"Mr.","neutral","Avani Hotel","July","2022","5","positive"
"GHA discovery","positive","Avani Hotel","June","2023","5","positive"
"Mr","neutral","Avani Hotel","May","2022","5","positive"
"Shanice","neutral","Avani Hotel","November","2023","5","positive"
"Mr","neutral","Avani Hotel","October","2022","5","positive"
"It was a amazing stay good service from front deskshalenrejoice and max..  good job guys will come back","positive","Avani Hotel","July","2023","5","positive"
"Lunch","neutral","Avani Hotel","December","2022","5","positive"
"ON REFERME LA PARENTHESE  NAMIBIENNE","neutral","Avani Hotel","September","2019","4","positive"
"Upset client","negative","Avani Hotel","June","2019","2","negative"
"Great sunset","positive","Avani Hotel","December","2023","5","positive"
"Very good city hotel in a central location for exploring Windhoek on your own","positive","Avani Hotel","November","2023","4","positive"
"Birthday Dinner with friends","positive","Avani Hotel","October","2023","4","positive"
"Excellent ","positive","Avani Hotel","September","2023","5","positive"
"Family oriented hotel","neutral","Avani Hotel","September","2023","5","positive"
"Concierge","neutral","Avani Hotel","August","2023","5","positive"
"Ottimo soggiorno","neutral","Avani Hotel","July","2023","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","5","positive"
"Pantry at Avani","neutral","Avani Hotel","June","2023","5","positive"
"AWESOME SERVICES","positive","Avani Hotel","June","2023","4","positive"
"great service at Avani once again","positive","Avani Hotel","May","2023","5","positive"
"Avani: An Experience","neutral","Avani Hotel","April","2023","4","positive"
"One of the best hotel experiences ever","positive","Avani Hotel","April","2023","5","positive"
"Outstanding customer service in Dunes","positive","Avani Hotel","March","2023","4","positive"
"Awesome service","positive","Avani Hotel","March","2023","5","positive"
"Thumbs up 👍 Avani","neutral","Avani Hotel","February","2023","4","positive"
"Smukt sted","neutral","Avani Hotel","February","2023","5","positive"
"Maravilloso lugar","neutral","Avani Hotel","February","2023","5","positive"
"Great Welcoming","positive","Avani Hotel","January","2023","5","positive"
"MINISTRY OF HEALTH","neutral","Avani Hotel","January","2023","4","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Excellent service","positive","Avani Hotel","January","2023","4","positive"
"Great Stay","positive","Avani Hotel","January","2023","5","positive"
"The waiters and waitress are extremely accommodating.","neutral","Avani Hotel","December","2022","5","positive"
"Excellent service","positive","Avani Hotel","December","2022","5","positive"
"Great hospitality","positive","Avani Hotel","November","2022","5","positive"
"Mr","neutral","Avani Hotel","November","2022","5","positive"
"Super Hotel als Ausgangspunkt für eine Namibiarundfahrt","positive","Avani Hotel","November","2022","5","positive"
"excellence service from banqueting team","positive","Avani Hotel","October","2022","4","positive"
"Good hospitality industry","positive","Avani Hotel","October","2022","5","positive"
"Best hotel ever","positive","Avani Hotel","October","2022","5","positive"
"Mr","neutral","Avani Hotel","October","2022","5","positive"
"Ms Ntaoleng Kunene","neutral","Avani Hotel","October","2022","5","positive"
"Good stay","positive","Avani Hotel","September","2022","5","positive"
"Marvin Rutjindo","neutral","Avani Hotel","September","2022","5","positive"
"Stratos","neutral","Avani Hotel","July","2022","5","positive"
"Business","neutral","Avani Hotel","June","2022","5","positive"
"Комфортный отель в центре Виндхука по разумной стоимости.","neutral","Avani Hotel","April","2022","5","positive"
"Staff 5 estrelas","neutral","Avani Hotel","July","2021","5","positive"
"One Night in Windhoek","neutral","Avani Hotel","December","2019","4","positive"
"Road Map to Avani","neutral","Avani Hotel","October","2019","5","positive"
"Hotel molto grande e bello","neutral","Avani Hotel","September","2019","5","positive"
"Very good for a short stay in Winhoek","positive","Avani Hotel","August","2019","4","positive"
"Business trip to Windhoek","neutral","Avani Hotel","July","2019","4","positive"
"good","positive","Avani Hotel","April","2019","3","neutral"
"Facelifting reicht nicht","neutral","Avani Hotel","February","2019","3","neutral"
"A REAL improvement","positive","Avani Hotel","January","2019","4","positive"
"First experience in Avani","neutral","Avani Hotel","October","2023","4","positive"
"If I could give a zero rating I would","neutral","Avani Hotel","September","2022","1","negative"
"Stratos","neutral","Avani Hotel","November","2023","5","positive"
"WHO","neutral","Avani Hotel","October","2022","5","positive"
"Breathtaking","positive","Avani Hotel","January","2023","5","positive"
"Statos","neutral","Avani Hotel","September","2023","5","positive"
"Drug Resistant Tuberculosis Training.","negative","Avani Hotel","August","2023","5","positive"
"Greta Evening","neutral","Avani Hotel","January","2023","5","positive"
"Amaaaazing!!!!","neutral","Avani Hotel","March","2023","5","positive"
"EXCELLENT SERVICE","positive","Avani Hotel","December","2022","4","positive"
"STRATTOS BAR","neutral","Avani Hotel","July","2022","5","positive"
"Great hotel!","positive","Avani Hotel","April","2023","4","positive"
"Excellent","positive","Avani Hotel","August","2022","5","positive"
"Roof top michaela","neutral","Avani Hotel","January","2023","5","positive"
"Shanice ","neutral","Avani Hotel","November","2023","5","positive"
"Stratos","neutral","Avani Hotel","November","2023","5","positive"
"EXCELLENT","positive","Avani Hotel","September","2021","5","positive"
"Debmarine  - conferencing","neutral","Avani Hotel","October","2022","5","positive"
"Wonderful experience at Avani - Windhoek","positive","Avani Hotel","December","2023","5","positive"
"MoHSS","neutral","Avani Hotel","February","2023","4","positive"
"Isabella","neutral","Avani Hotel","October","2022","5","positive"
"Good service","positive","Avani Hotel","June","2023","5","positive"
"Cleanliness","positive","Avani Hotel","June","2022","5","positive"
"Stratos restaurant","neutral","Avani Hotel","January","2023","5","positive"
"Shanice ","neutral","Avani Hotel","November","2023","5","positive"
"Amazing Experience","positive","Avani Hotel","October","2022","5","positive"
"Solo Dates ","neutral","Avani Hotel","February","2023","5","positive"
"Desire Review","positive","Avani Hotel","November","2022","5","positive"
"Great Stay","positive","Avani Hotel","June","2023","5","positive"
"Tops of the best hotels ever and welcome by Rosy and Kavee who are the besf","positive","Avani Hotel","October","2022","5","positive"
"Avani Hotel","neutral","Avani Hotel","March","2022","5","positive"
"Mr. Brian","neutral","Avani Hotel","October","2022","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","4","positive"
"3 night stay at Avani Windhoek Hotel","neutral","Avani Hotel","August","2022","5","positive"
"Super!","positive","Avani Hotel","May","2022","5","positive"
"Excellent service indeed","positive","Avani Hotel","June","2023","4","positive"
"Smooth stay very nice roof bar","positive","Avani Hotel","January","2023","5","positive"
"Loved it ","positive","Avani Hotel","November","2023","5","positive"
"Startos Avani","neutral","Avani Hotel","March","2023","5","positive"
"The stay is good ","positive","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Bon hôtel pour une arrivée ou un départ ","neutral","Avani Hotel","September","2019","4","positive"
"World-class hotel and service! ","neutral","Avani Hotel","May","2019","5","positive"
"Stratos","neutral","Avani Hotel","December","2023","5","positive"
"Excellent service ","positive","Avani Hotel","November","2023","5","positive"
"Clean and big place","positive","Avani Hotel","September","2023","5","positive"
"Super stay - enjoyed everything about Avani","positive","Avani Hotel","September","2023","5","positive"
"Good experience","positive","Avani Hotel","September","2023","5","positive"
"Windhoek’s best rooftop","positive","Avani Hotel","August","2023","4","positive"
"Buena experiencia","neutral","Avani Hotel","July","2023","5","positive"
"Great Check in","positive","Avani Hotel","June","2023","5","positive"
"Check in","neutral","Avani Hotel","June","2023","5","positive"
"Great service","positive","Avani Hotel","June","2023","4","positive"
"Great stay","positive","Avani Hotel","May","2023","5","positive"
"Avani an experience 2.0","neutral","Avani Hotel","April","2023","4","positive"
"Outstanding service","positive","Avani Hotel","April","2023","4","positive"
"Excellent","positive","Avani Hotel","March","2023","5","positive"
"basic 3/4* hotel","neutral","Avani Hotel","February","2023","3","neutral"
"Stratos rooftop bar","neutral","Avani Hotel","February","2023","5","positive"
"Great check in","positive","Avani Hotel","February","2023","5","positive"
"Is good experience","positive","Avani Hotel","February","2023","3","neutral"
"Stratos at Avani","neutral","Avani Hotel","January","2023","5","positive"
"Awesome service","positive","Avani Hotel","January","2023","5","positive"
"SAMOLINE BEST STAFF EVER !!!","positive","Avani Hotel","January","2023","5","positive"
"My stay at the Avani I was short but very pleasant I was checked in with a warm welcome by Chuma she was very helpful a","positive","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Perfect place for good service","positive","Avani Hotel","December","2022","4","positive"
"Outstanding service ","positive","Avani Hotel","December","2022","4","positive"
"Great customer service","positive","Avani Hotel","November","2022","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Mr.Shaama werner","neutral","Avani Hotel","October","2022","5","positive"
"Review by Titus DBMN","neutral","Avani Hotel","October","2022","5","positive"
"Office of the prime Minister","positive","Avani Hotel","October","2022","5","positive"
"Best and welcoming at avani will never forget from Rosy","positive","Avani Hotel","October","2022","5","positive"
"Great service","positive","Avani Hotel","October","2022","5","positive"
"Namforce","neutral","Avani Hotel","October","2022","5","positive"
"Business travel","neutral","Avani Hotel","September","2022","5","positive"
"Perfect location perfect suite perfect buffet and perfect sundowner! Everything was really perfect!","positive","Avani Hotel","August","2022","5","positive"
"Don’t miss the rooftop bar!","neutral","Avani Hotel","July","2022","5","positive"
"Business","neutral","Avani Hotel","June","2022","5","positive"
"Mrs","neutral","Avani Hotel","April","2022","5","positive"
"Very pleased","positive","Avani Hotel","June","2021","4","positive"
"Rude lazy and incompetent casino staff.","negative","Avani Hotel","December","2019","1","negative"
"Class of touch in the heart of the city","neutral","Avani Hotel","November","2019","4","positive"
"Very good","positive","Avani Hotel","September","2019","4","positive"
"Stratos Bar.","neutral","Avani Hotel","August","2019","5","positive"
"Ms","neutral","Avani Hotel","July","2019","5","positive"
"When i arrived i was welcomed by friendly staff member. Great location. Excellent services.  Clean and neat rooms......","positive","Avani Hotel","May","2019","5","positive"
"Séjour d'une nuit à l'hôtel AVANI de Windhoek","neutral","Avani Hotel","April","2019","5","positive"
"Avani Hotel Windhoek","neutral","Avani Hotel","February","2019","4","positive"
"The right place in Windhoek","positive","Avani Hotel","February","2019","4","positive"
"Debmarine","neutral","Avani Hotel","January","2023","5","positive"
"Overall great hotel with some minor flaws","neutral","Avani Hotel","March","2023","4","positive"
"Impressive 🤩🤩🤩","positive","Avani Hotel","January","2023","5","positive"
"Worthwhile experience ❤️","positive","Avani Hotel","January","2023","5","positive"
"Avani Windhoek Hotel and casino the place to be in Namibia and Windhoek. You will enjoy every minute you spend there","positive","Avani Hotel","November","2022","5","positive"
"The best Rooftop in Windhoek Namiba","positive","Avani Hotel","January","2023","5","positive"
"Stratos Restaurant","neutral","Avani Hotel","January","2023","5","positive"
"Mr","neutral","Avani Hotel","November","2022","5","positive"
"Warm welcome ","positive","Avani Hotel","January","2023","5","positive"
"Great stay! And check out.","positive","Avani Hotel","July","2023","5","positive"
"A decent hotel to stay at while in Windhoek ","positive","Avani Hotel","February","2020","4","positive"
"Excellent service","positive","Avani Hotel","December","2022","4","positive"
"Excellent service.","positive","Avani Hotel","December","2022","5","positive"
"Excellent service. Staff is friendly and very helpful. Nice sunsets view from the top restaurant","positive","Avani Hotel","October","2022","5","positive"
"Stay at Avani","neutral","Avani Hotel","September","2023","5","positive"
"Stratos","neutral","Avani Hotel","February","2023","5","positive"
"An amazing stay","positive","Avani Hotel","February","2023","5","positive"
"Beautiful","positive","Avani Hotel","June","2023","5","positive"
"Raynold OMG he was amazing. Attentive to our drinks and food. And I am a neat freak and he cleaned the table.","positive","Avani Hotel","September","2023","5","positive"
"Excellent","positive","Avani Hotel","September","2023","5","positive"
"Avani Hotel Windhoek tops for Business meetings and training","neutral","Avani Hotel","October","2022","5","positive"
"Excellent  service","positive","Avani Hotel","April","2023","5","positive"
"Great hotel to stay at in Windhoek","positive","Avani Hotel","December","2021","5","positive"
"Excellent Experience!","positive","Avani Hotel","March","2023","5","positive"
"stay at avani","neutral","Avani Hotel","June","2022","5","positive"
"Wonderful service","positive","Avani Hotel","August","2022","5","positive"
"Namforce Product Review","neutral","Avani Hotel","October","2022","5","positive"
"Mr","neutral","Avani Hotel","January","2023","5","positive"
"Happy stay","positive","Avani Hotel","June","2023","5","positive"
"Mrs Lena","neutral","Avani Hotel","October","2022","5","positive"
"Visit Windhoek. VISIT AVANI! TOP","positive","Avani Hotel","August","2023","5","positive"
"Great Avani stay","positive","Avani Hotel","October","2021","5","positive"
"Stay at Avani","neutral","Avani Hotel","August","2023","5","positive"
"Superb service!","positive","Avani Hotel","December","2022","5","positive"
"Business Trip stay - 3 nights","neutral","Avani Hotel","July","2022","5","positive"
"Aesthetic Excellence","positive","Avani Hotel","May","2022","5","positive"
"Avani Windhoek","neutral","Avani Hotel","December","2022","5","positive"
"Windhoek - 1st Time in Namibia","neutral","Avani Hotel","November","2023","4","positive"
"Was a wonderful stay with beautiful people. ","positive","Avani Hotel","February","2023","5","positive"
"Delightful Stay!","positive","Avani Hotel","December","2023","5","positive"
"Good atmosphere in Avani 15th floor restaurant. ","positive","Avani Hotel","September","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Excellent service rendered... Team work","positive","Avani Hotel","October","2022","5","positive"
"Superb service at the stratos","positive","Avani Hotel","January","2023","5","positive"
"Mohss","neutral","Avani Hotel","February","2023","4","positive"
"Excellent hotel","positive","Avani Hotel","August","2022","5","positive"
"Klasse Cityhotel","neutral","Avani Hotel","February","2020","5","positive"
"Standard Fare","neutral","Avani Hotel","October","2021","3","neutral"
"Estancia muy agradable y calidad del servicio en general","positive","Avani Hotel","September","2019","4","positive"
"Superb Service Modern Rooms","positive","Avani Hotel","April","2019","4","positive"
"Dunes restaurant","neutral","Avani Hotel","December","2023","4","positive"
"Solo breakfast ","positive","Avani Hotel","November","2023","5","positive"
"Disappointing Service Experience","negative","Avani Hotel","October","2023","1","negative"
"Excllent","neutral","Avani Hotel","September","2023","5","positive"
"Pantry","neutral","Avani Hotel","September","2023","5","positive"
"Tia","neutral","Avani Hotel","July","2023","5","positive"
"Concierge","neutral","Avani Hotel","July","2023","5","positive"
"Best experience","positive","Avani Hotel","June","2023","5","positive"
"Good Stay","positive","Avani Hotel","June","2023","5","positive"
"Excellent service Dunes restaurant","positive","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","May","2023","5","positive"
"Excellent service and people skills Charmaine 👏 👌 👍 🙌.","positive","Avani Hotel","April","2023","5","positive"
"Bakari","neutral","Avani Hotel","March","2023","5","positive"
"Outstanding experience 👏","positive","Avani Hotel","March","2023","4","positive"
"Professional Experience ","positive","Avani Hotel","March","2023","5","positive"
"Michaela theee best.!!!!","positive","Avani Hotel","February","2023","5","positive"
"Bipa","neutral","Avani Hotel","February","2023","4","positive"
"Awesome night dinner","positive","Avani Hotel","February","2023","5","positive"
"Amazing place","positive","Avani Hotel","January","2023","5","positive"
"My stay at the Avani","neutral","Avani Hotel","January","2023","5","positive"
"Ms","neutral","Avani Hotel","January","2023","5","positive"
"What a night to remember","neutral","Avani Hotel","January","2023","5","positive"
"Service was excellent","positive","Avani Hotel","January","2023","5","positive"
"Mrs Petrina","neutral","Avani Hotel","December","2022","5","positive"
"Great service","positive","Avani Hotel","December","2022","4","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"excellent service","positive","Avani Hotel","November","2022","5","positive"
"Great service from fron desk","positive","Avani Hotel","October","2022","5","positive"
"Stratos restaurant and bar","neutral","Avani Hotel","October","2022","5","positive"
"Great service indeed avani hotel","positive","Avani Hotel","October","2022","5","positive"
"Jurgen and Rosie are the best","positive","Avani Hotel","October","2022","5","positive"
"Sosta perfetta a windhoek!","neutral","Avani Hotel","October","2022","4","positive"
