"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Veldig bra","neutral","Hilton Hotel","December","2019","5","positive"
"Hate the room design","negative","Hilton Hotel","October","2019","3","neutral"
"Located at great location and excellent services from the staffs","positive","Hilton Hotel","September","2019","4","positive"
"Très bien situé mais vieillissant","neutral","Hilton Hotel","August","2019","4","positive"
"Good overnight hotel","positive","Hilton Hotel","August","2019","4","positive"
"Poor","negative","Hilton Hotel","June","2019","3","neutral"
"Business Trip - Excellent","positive","Hilton Hotel","May","2019","5","positive"
"Ausgezeichnet und zentral gelegen","neutral","Hilton Hotel","April","2019","5","positive"
"Good location for work","positive","Hilton Hotel","April","2019","3","neutral"
"Sehr gutes zentrales Hotel","neutral","Hilton Hotel","March","2019","4","positive"
"Great hotel wifi not great everything overpriced","neutral","Hilton Hotel","January","2019","4","positive"
"Outwardly impressive; inwardly needs a considerable re-think.","positive","Hilton Hotel","September","2023","3","neutral"
"Disappointing stay","negative","Hilton Hotel","April","2023","2","negative"
"Parking charged exorbitant ","negative","Hilton Hotel","November","2023","3","neutral"
"The Home of Excellence & Hospitality","positive","Hilton Hotel","January","2023","5","positive"
"Up to Hilton standards and a great location","positive","Hilton Hotel","August","2022","4","positive"
"Incredible staff & location","positive","Hilton Hotel","March","2023","5","positive"
"Best hotel in town but far from being perfect","positive","Hilton Hotel","December","2019","3","neutral"
"Fab hotel ","neutral","Hilton Hotel","August","2019","5","positive"
"First stay","neutral","Hilton Hotel","March","2019","5","positive"
"Toller Beginn unserer Reise ","neutral","Hilton Hotel","February","2020","4","positive"
"A única coisa que vale a pena é a localização","neutral","Hilton Hotel","September","2019","2","negative"
"Ok but not more","neutral","Hilton Hotel","April","2019","3","neutral"
"Douillet","neutral","Hilton Hotel","November","2022","4","positive"
"In die Jahre gekommen!","negative","Hilton Hotel","May","2022","3","neutral"
"Hilton Windhoek KW20-2021","neutral","Hilton Hotel","May","2021","3","neutral"
"Leider kein Hilton Standard.","neutral","Hilton Hotel","January","2020","3","neutral"
"očekávaně dobré","neutral","Hilton Hotel","December","2019","4","positive"
"Beavan's Experience at Hilton Hotel Windhoek","neutral","Hilton Hotel","November","2019","4","positive"
"Rettung in der Not","neutral","Hilton Hotel","September","2019","5","positive"
"Just what I needed.","neutral","Hilton Hotel","August","2019","5","positive"
"Disappointing stay","negative","Hilton Hotel","August","2019","3","neutral"
"ottimo hotel a prezzi ragionevoli","neutral","Hilton Hotel","July","2019","5","positive"
"Very good","positive","Hilton Hotel","June","2019","5","positive"
"VERY quiet!","positive","Hilton Hotel","June","2019","4","positive"
"Custo benefício duvidoso.Barulhento","neutral","Hilton Hotel","May","2019","3","neutral"
"schönes Stadthotel mit Makeln","neutral","Hilton Hotel","April","2019","4","positive"
"Central location nice roof top pool and bar","positive","Hilton Hotel","March","2019","4","positive"
"Hotel not up to the mark","neutral","Hilton Hotel","August","2022","3","neutral"
"Fabulous staff make this hotel really special","positive","Hilton Hotel","March","2020","5","positive"
"Modern and stylish","positive","Hilton Hotel","August","2023","5","positive"
"Great location","positive","Hilton Hotel","October","2021","5","positive"
"Disappointing for a Hilton Hotel","negative","Hilton Hotel","December","2022","2","negative"
"Modern comfortable and efficient","positive","Hilton Hotel","November","2023","4","positive"
"A good launch pad","positive","Hilton Hotel","March","2023","4","positive"
"Seltsam","neutral","Hilton Hotel","September","2019","4","positive"
"Zentrale Lage sehr gutes Hotel","neutral","Hilton Hotel","November","2019","5","positive"
"Stayed three times in last 8 days","neutral","Hilton Hotel","August","2019","4","positive"
"Good stopover in Windhoek","positive","Hilton Hotel","March","2019","4","positive"
"Surely the best hotel in Windhoek","positive","Hilton Hotel","March","2020","5","positive"
"Normal","neutral","Hilton Hotel","September","2019","3","neutral"
"Excellent City Hotel","positive","Hilton Hotel","March","2019","5","positive"
"Great place","positive","Hilton Hotel","February","2019","4","positive"
"Stay away","neutral","Hilton Hotel","July","2022","1","negative"
"отличное место для отдыха перед вылетом домой","neutral","Hilton Hotel","December","2021","5","positive"
"Great stay in Windhoek","positive","Hilton Hotel","April","2021","5","positive"
"Sehr gutes Hotel - Inkompetente Rezeptionisten","neutral","Hilton Hotel","December","2019","3","neutral"
